id;name;birthdate
90;Julie Andrews;1962-04-21
91;Blake Edwards;1963-07-20
92;Burt Reynolds;1949-04-23
93;George Roy Hill;1968-08-16
94;Alan Bates;1967-05-21
95;Andrei Konchalovsky;1954-05-01
96;Christopher Plummer;1988-06-14
97;Robert Wise;1993-10-17
98;John Cleese;1952-03-19
99;Paule Annen;1972-09-03
100;Alan Alda;1994-09-23
101;Ann-Margret;2008-05-21
102;Richard Attenborough;1950-06-15
103;Roger Daltry;1957-04-02
104;Ken Russell;2004-03-16
105;Richard Dreyfuss;1972-09-03
106;Susan Anspach;1967-07-11
107;Jeremy Paul Kagan;1963-11-09
108;Lukas Haas;2009-11-04
109;Vanessa Aquino;1998-12-21
110;Sterling Vanwagenen;1960-09-06
111;Michael Douglas;1972-01-03
112;Anne Archer;2003-10-12
113;Adrian Lyne;1992-06-23
114;Phillip Noyce;1969-04-24
115;Fanny Ardant;2001-05-05
116;François Truffaut;1944-02-13
117;John Savage;1964-06-15
118;Kerry Armstrong;1967-02-15
119;Frank Howson;1991-09-15
120;Robert Taylor;1961-02-19
121;Desi Arnaz;1967-11-02
122;Paul Richter;1992-03-20
123;Gertrud Arnold;2010-09-07
124;Fritz Lang;1948-12-25
125;Michael Rooker;1992-03-03
126;Tracy Arnold;2002-10-13
127;Jean-Marc Barr;1977-06-25
128;Rosanna Arquette;1962-04-18
129;John Milius;1955-12-11
130;Eric Roberts;1961-10-24
131;Evelyn Purcell;2007-10-14
132;Griffin Dunne;1997-10-26
133;Martin Scorsese;1988-02-25
134;Aidan Quinn;2001-10-21
135;Susan Seidelman;1975-06-18
136;Walter Matthau;1955-05-08
137;Rose Arrick;1989-11-06
138;Elaine May;1953-05-13
139;Gregoire Aslan;1992-11-18
140;Richard Thorpe;1950-05-02
141;John Barrymore;1993-04-11
142;Mary Astor;1978-01-19
143;Alan Crosland;1944-09-20
144;Jean-Philippe LaFont;1977-08-24
145;Stéphane Audran;1957-11-17
146;Gabriel Axel;1981-11-08
147;Yves Montand;2007-05-28
148;Claudine Auger;1982-11-06
149;Terrence Young;1962-01-05
150;Arthur Chesney;1949-11-25
151;Marie Ault;1940-06-03
152;Peter Ustinov;1942-04-20
153;Lauren Bacall;1995-06-10
154;Michael Winner Donaggio;1980-10-21
155;Martin Balsam;2005-09-26
156;Sidney Lumet;1966-02-08
157;William Wellman;1954-11-23
158;Barbara Bach;1977-09-28
159;Lewis Gilbert;1967-03-18
160;David Palfy;1986-08-25
161;Stacy Christensen Bahtia;1941-09-02
162;David Winning;2005-07-24
163;Carroll Baker;1994-01-12
164;Richard Roundtree;1983-12-17
165;Dawn Baker;2009-03-08
166;Al Bradley;1953-11-26
167;David Thewlis;2004-04-02
168;Fairuza Balk;1961-03-10
169;John Frankenheimer;1993-09-24
170;Anne Bancroft;1962-07-16
171;David Jones;2009-04-28
172;David Lynch;1961-06-02
173;Billy Jacoby;1950-05-17
174;Olivia Barash;1952-08-20
175;David DeCoteau;1950-09-22
176;Hal Holbrook;1973-01-16
177;Adrienne Barbeau;1952-12-25
178;George A. Romero;1984-01-13
179;Ayub Khan Din;1953-07-24
180;Frances Barber;1986-11-01
181;Stephen Frears;1970-06-08
182;Arthur Brauss;1983-03-19
183;Maria Bardischewski;1996-10-04
184;Wim Wenders;1944-09-24
185;Daniel Gelin;1953-03-10
186;Brigitte Bardot;2010-11-23
187;Marc Allegret;1949-09-19
188;Maurice Ronet;1990-01-05
189;Jean Aurel;1963-01-18
190;Jean Bretonniere;1970-11-17
191;Michel Boisrond;1975-03-15
192;Henri Vidal;1975-07-27
193;Laurent Terzieff;1988-08-05
194;Serge Bourguignon;1965-02-18
195;Edward Dmytryk;2009-04-14
196;Jack Palance;1957-12-04
197;Jean-Luc Godard;2001-01-18
198;Billy Mumy;1940-07-06
199;Henry Koster;1945-09-28
200;Marcello Mastroianni;2007-09-10
201;Louis Malle;1978-04-28
202;Anthony Perkins;2009-12-12
203;Edouard Molinaro;1985-09-07
204;Louis Jourdan;2000-12-06
205;Fred Surin;1945-08-21
206;Dirk Bogarde;1963-04-10
207;Ralph Thomas;1965-04-21
208;Robert Hossein;1955-03-13
209;Roger Vadim;1986-08-01
210;Curt Jurgens;1985-07-21
211;Gabriel Byrne;1987-10-13
212;Ellen Barkin;1972-03-25
213;Mary Lambert;1980-03-27
214;Henry Kendall;1991-03-01
215;Joan Barry;1945-03-14
216;Eric Stoltz;1971-05-01
217;Deborah Barrymore;1968-06-25
218;Franklin J. Schaffner;1952-03-05
219;Dee Wallace;1956-03-26
220;Drew Barrymore;1997-03-27
221;Kim Basinger;1966-09-08
222;Ralph Bakshi;2006-06-21
223;Robert Benton;2007-07-25
224;Jack Nicholson;1958-11-19
225;Tim Burton;1952-10-23
226;Bruce Willis;1969-12-11
227;Charlton Heston;1987-04-23
228;Phil Joanou;1990-09-21
229;Irvin Kershner;1978-06-20
230;Mickey Rourke;1961-02-14
231;Robert Culp;1987-01-01
232;John Llewellyn Moxey;2005-10-18
233;Richard Pearce;1980-09-09
234;Alec Baldwin;1958-05-03
235;Jerry Rees;1954-06-05
236;James Caan;1989-04-09
237;Kathy Bates;1981-04-12
238;Rob Reiner;1965-05-21
239;Wiktor Andersson;1947-03-17
240;Anna-Lisa Baude;1974-10-07
241;Antony Hamilton;1980-03-09
242;Belinda Bauer;1990-07-15
243;Lee Philips;2002-12-28
244;Gary Busey;1977-04-15
245;Gene Hackman;1998-01-03
246;Jennifer Beals;2003-01-26
247;David Drury;1946-06-01
248;Wings Hauser;1981-11-22
249;Kimberly Beck;1986-02-04
250;Nico Mastorakis;1949-04-21
251;Bonnie Bedelia;1989-03-10
252;Alan J. Pakula;2006-03-01
253;Janet Beecher;1951-01-14
254;Cecil B. DeMille;2006-03-02
255;Christine Belford;1971-04-21
256;Stuart Rosenberg;1950-08-16
257;Ed Flanders;1947-10-14
258;Kathleen Beller;1951-05-20
259;Jud Taylor;1963-08-03
260;Richard Belzer;1942-03-13
261;Pat Benatar;1960-09-11
262;Robert De Niro;1993-01-17
263;Annette Bening;1967-05-12
264;Irwin Winkler;1980-01-12
265;Michael Redgrave;1985-01-22
266;Joan Bennett;1956-02-23
267;Edward G. Robinson;1953-11-03
268;Mel Blanc;1995-12-16
269;Julie Bennett;2004-07-12
270;Greg Ford;1964-11-23
271;George Burns;1950-07-28
272;Marisa Berenson;1964-07-27
273;Ben Kingsley;2000-10-18
274;Candice Bergen;1961-11-21
275;Mike Nichols;1964-08-17
276;Elliott Gould;1984-06-23
277;Richard Rush;2002-06-21
278;Rafael Albaicín;1975-08-22
279;Senta Berger;2004-02-18
280;Edvin Adolphson;1981-06-20
281;Ingrid Bergman;1985-06-05
282;Halvar Björk;1986-07-25
283;Charles Boyer;1989-09-20
284;George Cukor;1957-03-15
285;Cary Grant;1966-04-18
286;Stanley Donen;1994-12-25
287;Gustaf Edgren;2007-08-05
288;Jose Ferrer;1998-09-16
289;Victor Fleming;1958-12-18
290;Ned Beatty;1999-11-14
291;Alan Gibson;1952-09-23
292;Anthony Quinn;1971-10-01
293;Guy Green;1963-03-21
294;Joseph Cotten;1965-01-28
295;Olof Widgren;1957-02-27
296;Per Lindberg;1948-09-26
297;Anatole Litvak;2002-05-10
298;Akim Tamiroff;1975-06-19
299;Bing Crosby;1941-12-14
300;Leo McCarey;1954-06-02
301;Gösta Ekman;2006-02-25
302;Gustaf Molander;1962-09-18
303;Tore Svennberg;1975-03-12
304;Håkan Westergren;1963-10-24
305;Gustav Molander;1948-05-08
306;Georg Rydeberg;1969-02-25
307;Mel Ferrer;1995-12-05
308;Jean Renoir;1954-04-17
309;Alexander Knox;2006-01-28
310;Roberto Rossellini;1998-02-07
311;George Sanders;1973-05-02
312;Mathias Wieman;1979-05-26
313;Mario Vitale;1961-02-12
314;Gene Saks;1960-06-08
315;Bruce Conover;2009-03-04
316;Rip Torn;1950-06-25
317;Robert Ginty;1962-09-13
318;Sandahl Bergman;2005-12-07
319;Allan Holzman;1962-09-01
320;David A. Prior;1969-02-18
321;Marty Feldman;1968-02-26
322;Shelley Berman;1969-03-10
323;Jim Clark;1969-06-18
324;Sandra Bernhard;1983-04-05
325;Eddie Murphy;1981-07-25
326;F. Murray Abraham;1957-02-13
327;Elizabeth Berridge;2001-11-17
328;Milos Forman;1978-07-12
329;Jennifer Billingsley;2000-02-21
330;Joseph Sargent;1943-09-01
331;Daniel Day-Lewis;1959-04-26
332;Juliette Binoche;1977-04-24
333;Philip Kaufman;1947-06-25
334;Jacqueline Bisset;1992-11-17
335;Burt Lancaster;2006-07-05
336;George Seaton;1991-06-20
337;Jean-Pierre Aumont;1993-07-16
338;Birger Malmsten;1948-03-04
339;Anita Björk;1947-08-12
340;Oliver Reed;1963-12-11
341;Karen Black;1995-03-27
342;Dan Curtis;1955-05-01
343;Peter Fonda;1945-01-23
344;Bob Rafelson;1952-02-28
345;Donald Sutherland;1973-03-02
346;John Schlesinger;1941-09-21
347;Honor Blackman;1970-10-14
348;Guy Hamilton;1956-12-14
349;Richard Burton;1983-01-19
350;Linda Blair;1989-09-09
351;John Boorman;1972-03-13
352;Stanley Clements;1945-07-28
353;Gloria Blondell;1966-09-10
354;Edward Bernds;1958-03-10
355;Joan Blondell;1943-10-20
356;Jason Leigh;1967-06-03
357;Cliff Robertson;1996-07-03
358;Claire Bloom;1943-04-05
359;Ralph Nelson;1981-07-20
360;Clint Eastwood;2002-03-20
361;Verna Bloom;1981-08-08
362;Anne Bobby;1999-04-06
363;Clive Barker;1986-04-09
364;Sandrine Bonnaire;1955-11-24
365;Maurice Pialat;2007-08-26
366;Macha Meril;2001-01-27
367;Agnes Varda;1995-11-01
368;Bill Cosby;1994-12-12
369;Elayne Boosler;1944-10-08
370;Graham Chapman;1944-03-18
371;Connie Booth;1971-08-26
372;Terry Gilliam;2004-11-24
373;Shirley Booth;1984-04-04
374;Joseph Anthony;1992-03-22
375;Carole Bouquet;2002-01-16
376;Buddy Rogers;1972-05-12
377;Clara Bow;1953-11-15
378;Lorraine Bracco;2010-10-20
379;John McTiernan;1949-04-01
380;William Hurt;1992-03-22
381;Sonia Braga;1944-10-08
382;Hector Babenco;1991-04-16
383;Eileen Brennan;1949-08-21
384;Diane Brewster;1943-05-24
385;Joseph Pevney;1956-08-20
386;Michael Paré;1961-11-26
387;Lynda Bridges;2001-02-16
388;Craig Rumar;1963-01-21
389;Anne Brochet;1974-04-27
390;Jean-Paul Rappeneau;1981-07-02
391;Tadeusz Fijewski;1942-01-23
392;Maria Broniewska;1949-06-28
393;Aleksander Ford;1973-06-23
394;Barrett Hopkins;2008-06-17
395;Violet Brown;1953-08-25
396;J. Christian Ingvordsen;2008-03-17
397;Marlon Brando;2005-05-22
398;Yul Brynner;1947-06-27
399;Bernhard Wicki;1949-12-02
400;Robert Atzorn;1959-12-08
401;Christine Buchegger;1958-02-15
402;Betty Buckley;2001-04-28
403;Roman Polanski;1986-11-06
404;Geneviève Bujold;1966-09-26
405;Michael Crichton;2001-08-04
406;Jeremy Irons;1963-07-27
407;Leonard West;1951-01-26
408;Stephanie Burd;2001-11-08
409;Bruce Lambert;1981-11-01
410;Ellen Burstyn;1988-06-05
411;William Friedkin;1996-02-28
412;Kris Kristofferson;1995-11-21
413;Jonathan Bolt;1960-09-21
414;Martha Byrne;2006-11-27
415;Frederick King Keller;1950-01-04
416;James Cagney;1953-01-06
417;Corinne Calvet;1966-03-01
418;Sampson De Brier;2008-01-17
419;Marjorie Cameron;1995-06-04
420;Kenneth Anger;1990-04-03
421;Larry Fishburne;1958-11-14
422;Tisha Campbell;1952-05-24
423;Spike Lee;1968-07-18
424;John Heard;2001-12-06
425;Dyan Cannon;1970-06-07
426;Merlin Olsen;1998-02-10
427;Katharine Cannon;1953-01-27
428;William F. Claxton;1984-08-20
429;Robert Bideman;1982-02-24
430;Nadia Capone;1987-05-10
431;Robert Bergman;2001-07-02
432;Sam Elliott;1951-08-12
433;Kate Capshaw;1995-06-11
434;Robert Day;1941-07-01
435;Willard Huyck;1953-09-08
436;Dennis Quaid;1940-04-03
437;Joseph Ruben;1950-10-10
438;Ridley Scott;1987-09-08
439;Claudia Cardinale;2008-11-10
440;Federico Fellini;1950-02-19
441;Wallace Ford;1975-10-05
442;Mary Carlisle;1993-11-24
443;Christy Cabanne;1972-02-07
444;Noah Taylor;1979-07-01
445;Loene Carmen;1983-07-06
446;John Duigan;1952-12-08
447;Jean-Paul Belmondo;1965-10-26
448;Leslie Caron;1952-05-21
449;René Clément;1984-05-10
450;Tom Gries;1943-05-19
451;Barbara Carrera;2001-04-05
452;Don Taylor;1996-11-10
453;Michael Caine;1979-08-01
454;Elpidia Carrillo;2004-05-28
455;John Mackenzie;2004-05-08
456;Peter Lorre;1952-07-22
457;Madeleine Carroll;1974-03-21
458;Bruce Mahler;1950-05-25
459;Judy Carter;1985-07-23
460;Tony Kendall;1953-08-18
461;Karen Carter;1976-11-14
462;Ernst R. von Theumer;1990-04-23
463;Joanna Cassidy;1946-06-06
464;Zach Galligan;1969-04-05
465;Phoebe Cates;1948-11-28
466;Joe Dante;1985-08-14
467;Amy Heckerling;2003-05-18
468;Andrew McCarthy;1976-05-11
469;Kim Cattrall;1972-08-19
470;Michael Gottlieb;2006-05-06
471;Frank Moore;1989-04-22
472;Marilyn Chambers;1990-12-07
473;Peter Sellers;1941-11-25
474;Marge Champion;1987-07-12
475;Chris Peterson;1958-06-24
476;Agnes Chan;1981-04-07
477;Peter Lawford;1950-12-02
478;Carol Channing;1969-12-28
479;Marguerite Chapman;1972-12-04
480;William A. Seiter;2005-11-12
481;Cyd Charisse;1997-05-11
482;Nicholas Ray;1981-11-08
483;Kyle MacLachlan;1974-06-06
484;Joan Chen;1978-07-11
485;Nicholas Cage;1982-05-12
486;Cher;1947-03-08
487;Norman Jewison;1954-03-11
488;George Miller;1962-05-10
489;Lois Chiles;1984-11-28
490;Guy Davis;1981-10-27
491;Rae Dawn Chong;2003-11-11
492;Stan Lathan;1959-02-05
493;Mick Jagger;1943-10-19
494;Andrew Lauer;1952-11-23
495;Claudia Christian;1941-06-08
496;Adam Rifkin;1995-03-13
497;Warren Beatty;1985-01-06
498;Julie Christie;1981-08-22
499;Hal Ashby;1944-05-19
500;Laurence Harvey;1999-09-06
501;Sandra Church;1961-05-08
502;George Englund;1986-04-19
503;Will Rogers;1993-08-12
504;Marguerite Churchill;1945-11-07
505;Sam Taylor;1951-03-01
506;Raoul Walsh;1966-10-20
507;Diane Cilento;1978-09-18
508;Martin Ritt;1979-08-09
509;Susan Clark;1946-01-07
510;Don Siegel;1941-09-15
511;Jillette Penn;1980-12-07
512;Caitlin Clarke;1971-11-21
513;Arthur Penn;1950-08-04
514;John Philbin;1955-12-11
515;Jill Clayburgh;1981-05-19
516;Claudia Weill;1975-11-23
517;John Malkovich;1983-06-18
518;Glenn Close;2004-06-06
519;Barbet Schroeder;1990-03-11
520;Niels Arestrup;1969-06-22
521;István Szabó;1970-09-15
522;Orson Welles;1959-09-07
523;Claudette Colbert;1949-01-03
524;Kirk Cameron;1998-10-19
525;Margaret Colin;1973-03-20
526;Rod Daniel;1971-12-24
527;James Stewart;1979-06-14
528;Constance Collier;1980-02-07
529;Bob Hope;1970-06-09
530;Joan Collins;1941-03-15
531;Norman Panama;2000-12-05
532;Tom Conti;1976-11-13
533;Pauline Collins;2008-04-12
534;Patrick Swayze;1965-01-25
535;Roland Joffe;1998-03-24
536;Anjanette Comer;2001-06-15
537;Sidney J. Furie;1972-06-25
538;Byron Thames;1977-01-21
539;Jennifer Connelly;1949-09-19
540;Linda Feferman;1975-10-15
541;Sam Bottoms;1975-06-22
542;Eleanor Coppola;1968-03-17
543;Fax Bahr;1993-09-07
544;Karla Lee;1958-02-21
545;Laura Cornell;1948-02-27
546;Charlotte Cornwell;1953-04-15
547;Hardy Kruger;1982-10-17
548;Nicole Courcel;1955-04-04
549;Paul LeMat;1978-12-09
550;Barbara Crampton;1989-03-13
551;David Schmoeller;2009-03-04
552;Roddy McDowall;1979-07-19
553;Joan Crawford;1969-10-07
554;Fred Gwynne;1968-01-19
555;Denise Crosby;1959-11-07
556;Wentley Phipps;2004-10-12
557;Sandra Crouch;1992-11-09
558;Kip Walton;2001-03-28
559;Lindsay Crouse;2000-07-18
560;Daniel H. Jenkins;1949-07-19
561;Jane Curtin;1945-01-10
562;Jamie Lee Curtis;1979-03-08
563;Charles Crichton;1960-06-17
564;Eva Dahlbeck;1958-12-27
565;Jean-Hughes Anglade;1967-05-03
566;Béatrice Dalle;1943-06-19
567;Jean-Jacques Beineix;1991-08-11
568;Beverly D'Angelo;1953-11-19
569;Chevy Chase;1957-07-08
570;Jeremiah S;1966-04-16
571;Yuri Solomin;1956-11-05
572;Svetlana Danilchenko;1949-06-25
573;Akira Kurosawa;1987-11-02
574;Blythe Danner;1949-05-05
575;Woody Allen;1960-03-14
576;Bo Hopkins;1951-12-24
577;Patti D'Arbanville;1975-11-10
578;Howard Hikmet Avedis;1956-02-27
579;Terence Knox;2006-12-28
580;Thomas J. Wright;1945-09-23
581;William Shatner;1962-12-21
582;Kim Darby;1950-09-19
583;Henry Hathaway;1975-01-17
584;Donald Crisp;1952-05-16
585;Jane Darwell;1953-07-21
586;Bette Davis;2006-07-28
587;Robert Aldrich;1993-08-03
588;Curtis Bernhardt;1983-02-08
589;George Brent;1994-07-20
590;Edmund Goulding;2010-11-05
591;Joseph L. Mankiewicz;1981-06-17
592;Jeff Goldblum;2006-10-19
593;Geena Davis;2008-07-10
594;Howard  Franklin;2002-08-10
595;Hugh Grant;2005-01-28
596;Sammi Davis;1993-07-21
597;David Hemmings;1979-12-09
598;Doris Day;2003-03-13
599;Jean Marais;1997-03-28
600;Josette Day;1991-06-19
601;Jean Cocteau;1941-08-28
602;Joel McCrea;2009-04-25
603;Laraine Day;1968-04-15
604;Ralph Richardson;2000-06-26
605;Olivia De Havilland;1958-01-17
606;William Wyler;1963-02-05
607;Jay Underwood;2000-08-01
608;Lucy Deakins;1940-08-25
609;Nick Castle;1952-09-10
610;Isabel Dean;1993-05-07
611;Caspar Wrede;1965-07-15
612;Frances Dee;1960-11-15
613;John H. Auer;1946-12-20
614;Danny Aiello;1993-07-08
615;Ruby Dee;1943-12-25
616;Andre Braugher;1977-08-15
617;Larry Peerce;1959-07-20
618;Thommy Berggren;1999-03-15
619;Pia Degermark;2005-09-14
620;Bo Widerberg;2001-12-08
621;Carl Weathers;1968-12-18
622;Cassandra Delaney;1944-01-22
623;Colin Budds;1957-07-05
624;Peter Ford;1943-04-09
625;Mylene Demongeot;1993-11-17
626;Tom Cruise;1971-06-28
627;Rebecca DeMornay;1968-10-17
628;Paul Brickman;1979-11-09
629;Catherine Deneuve;1981-05-25
630;Claude Berri;1960-04-23
631;Elie Chouraqui;1985-11-21
632;Alain Comeau;1991-02-24
633;Alan Corneau;1992-02-06
634;Dick Richards;1972-08-24
635;Elizabeth Depardieu;2003-07-14
636;Laura Dern;1958-06-05
637;Rosana DeSoto;1964-06-13
638;Edward James Olmos;1979-10-02
639;Ramon Menendez;1954-10-20
640;Albert Finney;1964-06-14
641;Susan Dey;1948-08-25
642;Charles Haid;1980-11-21
643;Angie Dickinson;1961-07-04
644;Jerry Jameson;1983-10-22
645;Marlene Dietrich;1977-10-11
646;Tay Garnett;1955-05-07
647;Spencer Tracy;1994-03-04
648;Stanley Kramer;1967-06-11
649;Rip Taylor;1980-03-24
650;Phyllis Diller;1979-08-03
651;Omar Sharif;2008-10-26
652;Arielle Dombasle;1993-02-14
653;Bruno Ganz;1982-03-02
654;Solveig Dommartin;2000-12-10
655;Amanda Donohoe;1940-11-24
656;Nicolas Roeg;1991-11-19
657;Diana Dors;1951-02-13
658;Pascal Benezech;1956-08-07
659;Marie-Laure Dougnac;2000-02-18
660;Marc Caro;1959-12-20
661;Lesley-Anne Down;1979-07-09
662;Peter Hyams;1996-06-12
663;Michael Tuchner;1959-11-17
664;Henry Fonda;1975-05-13
665;Cathy Downs;1987-03-04
666;Ben Johnson;1980-06-11
667;Joanne Dru;1957-06-02
668;Harold Hopkins;1943-02-26
669;Jeanie Drynan;1972-05-17
670;John Meagher;1951-07-04
671;Donald Grant;1976-03-14
672;Denise DuBarry;2001-09-05
673;Bob Dahlin;1953-05-27
674;Abba Eban;1987-07-14
675;Faye Dunaway;1949-05-16
676;Amos Kollek;1940-09-01
677;Robert Redford;1997-11-01
678;Sydney Pollack;2003-08-07
679;Joe Mantegna;1949-01-11
680;William Powell;1949-10-20
681;Irene Dunne;1950-06-14
682;Michael Curtiz;1964-10-06
683;Anny Duperey;1972-07-26
684;Alain Resnais;1983-08-04
685;Shelley Duvall;1983-10-25
686;Stanley Kubrick;1986-05-13
687;Ann Dvorak;1995-08-06
688;Joseph Kane;1941-01-21
689;Shirley Eaton;2002-02-08
690;Samantha Eggar;2007-03-15
691;Lisa Eilbacher;2001-07-05
692;Martin Brest;1961-10-16
693;Robert Urich;1957-03-15
694;James Quinn;1992-07-07
695;Anita Ekberg;2003-01-03
696;Britt Ekland;1989-07-20
697;Vittorio De Sica;1949-10-11
698;Miguel Hermoso;1972-11-04
699;Robert Parrish;1960-12-10
700;Tex Beneke;2007-05-15
701;Les Elgart;1973-11-17
702;Michael Ironside;1941-09-12
703;Krista Errickson;1979-08-17
704;Charles Laulette;2006-04-13
705;Kim Evenson;1968-10-01
706;Robert Allen Schnitzer;1977-05-14
707;John Dye;1987-04-15
708;Morgan Fairchild;1988-01-17
709;Ron Casden;1961-06-10
710;Felicia Farr;1960-07-10
711;Delmer Daves;1976-05-14
712;Mia Farrow;1947-03-27
713;Jason Robards;1944-05-02
714;Jan Troell;1948-10-12
715;Michael Nouri;1969-09-07
716;Farrah Fawcett;1956-12-18
717;John Avnet;1987-01-10
718;Hal Needham;1969-08-21
719;Eddie Nugent;1954-06-24
720;Louise Fazenda;1997-07-03
721;Lewis D. Collins;2004-04-08
722;Joseph Bottoms;1981-07-26
723;Tovah Feldshuh;1984-12-22
724;Marvin J. Chomsky;1974-01-28
725;Malcolm Jamieson;1964-09-20
726;Sherilyn Fenn;2000-10-21
727;Charles Band;1977-10-16
728;Forest Whitaker;1957-12-24
729;Roy London;1975-06-01
730;Rebecca Ferratti;1990-11-20
731;Fritz Kiersch;1990-11-11
732;Sally Field;1996-07-22
733;Jerry Belson;1940-08-25
734;Ed Harris;1944-11-19
735;Alfred Molina;1981-06-26
736;Brian Gilbert;1952-04-28
737;Henry Winkler;1998-10-17
738;Beau Bridges;1954-08-12
739;Tom Skerritt;1954-02-25
740;Herbert Ross;1995-03-24
741;Tom Hanks;2002-05-06
742;Carrie Fisher;1941-05-19
743;Mark Hamill;1971-02-25
744;George Lucas;1966-10-20
745;Richard Marquand;1958-08-12
746;Adrian Dunbar;1981-11-28
747;Tara Fitzgerald;1949-11-02
748;Peter Chelsom;1962-08-25
749;John Payne;1962-09-25
750;Rhonda Fleming;1984-09-10
751;Allan Dwan;1946-07-04
752;John Sturges;1991-03-07
753;Susan Fleming;1994-08-27
754;Ross Lederman;1989-02-17
755;Jake Dengel;1972-03-20
756;Suzanne Fletcher;1949-08-26
757;Alan Smithey;1942-07-25
758;Peter Gonzales;1975-05-28
759;Fiona Florence;1951-01-16
760;Jane Fonda;1981-08-24
761;James Bridges;1955-08-10
762;Lee Marvin;1941-03-14
763;Elliot Silverstein;1988-06-11
764;Jon Voight;1964-08-02
765;Laurence Olivier;1994-04-15
766;Joan Fontaine;1972-12-04
767;Robert Stevenson;1979-04-24
768;Anne Randall;1957-03-08
769;Anitra Ford;1990-12-24
770;Andy Sidaris;1958-02-22
771;William Katt;1946-11-23
772;Maria Ford;1973-10-26
773;Dan Golden;2007-05-19
774;Ed Lottimer;1972-12-05
775;Katt Shea Ruben;1997-04-15
776;Ray Sharkey;1985-05-07
777;Ken Stein;1983-01-05
778;Deborah Foreman;1972-03-09
779;Martha Coolidge;1998-02-24
780;Jodie Foster;2002-02-15
781;Jonathan Demme;2007-07-01
782;Mark Harmon;1950-05-20
783;Steven  Kampmann;1955-08-04
784;Bernard McEveety;1985-12-06
785;Tim Robbins;1947-02-24
786;Anne Francis;1999-04-12
787;Richard Brooks;1984-10-21
788;Brenda Fricker;1944-03-24
789;Jim Sheridan;1992-03-25
790;Frankie Avalon;1948-01-25
791;Annette Funicello;1966-04-05
792;Lyndall Hobbs;1969-03-08
793;Herbert Marshall;1996-09-03
794;Greta Garbo;1953-11-11
795;Richard Boleslawski;1940-06-07
796;Oscar Apfel;1976-11-01
797;Clarence Brown;1952-07-17
798;Charles Bickford;1945-11-27
